Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Europe & Central Asia,16.3803266872053,23.0071049499467,28.309747074224,32.2957215789562,35.1437481479989,38.0102339728904,43.6168164513068,47.3177041996083,50.5358475752333,56.0868823063161,58.7933713369288,63.5904777740431,66.3123556101227,68.9892517238061,70.043997006879,72.4462776776976,75.0278206846807,81.6900882575112
Europe & Central Asia (excluding high income),2.87824511470309,5.01176242834727,7.30001771527717,10.7063046445601,12.4900429977375,15.0237677640921,20.3921152361791,23.8993210606006,27.4605930933097,35.6206969378559,40.5454110681726,48.8268692623845,52.7891291858293,56.8994546422989,58.7934861658622,62.5179342049297,66.5874019895887,76.4863910014852
Europe & Central Asia (IDA & IBRD),3.60385750926429,6.60209598045118,9.12139328914362,12.9213106442657,15.0645048913815,17.8430892604583,23.0680841952779,26.6502703896661,30.4274160484348,38.1363445838502,42.5553088824452,50.1062173658907,53.7765064769087,57.8326992231248,59.6719166596162,63.5147643144391,67.3707225931384,76.5549949654335
European Union,25.273596197192,35.0858236555989,41.7917341036061,46.7927488641473,50.949019045537,54.5453581440399,60.3284590456572,64.258534237184,67.3211298676981,70.7546829388255,71.6590082727167,73.8531384720304,75.6943576310206,77.3039429953292,77.7727998920502,79.2384579496443,80.8297785477261,84.0361370449263
Fiji,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4,42.5,46.50697831,49.96637301,NA
Finland,43.10536335,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996,87.46892907,88.88996
Fragile and conflict affected situations,0.266006597031279,0.543182157705191,0.770252345586814,1.08123110993915,1.50924940912222,1.94188663026882,3.14078254203109,3.07638166195255,3.98388264838472,6.13284561619836,6.96526416593661,8.56230601542834,10.4000365923855,12.50175283681,19.6190477106632,17.1382390538274,22.262694195274,NA
France,26.32590355,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,78.01,79.26981132,80.50245972,82.04353422
Gabon,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,62,NA
Gambia, The,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,15.56,16.5,18.5,19.83645444,NA
Georgia,0.992344436,1.58787563,2.558816481,3.886221354,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.56975964,58.45928961,59.7055046,63.96862952
Germany,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.39550077,89.73912104
Ghana,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743,25,34.66600065,39,NA
Greece,10.93502581,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.835,69.08791547,70.54943345,72.9520942
Grenada,5.128103982,14.75884055,18.64518218,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.85640782,59.07173536,NA
