Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia, The,2045.71586907875,1947.27252543602,2052.93939131966,2186.55945093342,2134.31033591454,2121.13587008058,2178.1535382926,2290.38624555601,2389.54903807679,2484.66916783389,2261.04901704761,2352.8084205076,2389.25392755288,2328.65087626561,2376.47891422376,2377.04224368238,2464.77371557032,2612.00099501428
Georgia,3190.18848463725,3448.84407212077,3927.81115258793,4293.78808285214,4883.04230505527,5536.08675714952,6433.36202290028,6737.55843948984,6599.44742762899,7145.52019253308,7897.69625497106,8627.62315550175,9122.49065639441,9699.50634054425,10081.4351252139,10480.9656160071,11191.3361771962,12004.5738332821
Germany,28380.3841210923,29178.6374658122,29875.0279345237,31305.2879360128,31794.0960095207,34124.8742659227,36252.4119582804,37802.3874303197,36823.3802837696,38949.5497636642,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47683.7885959958,49516.0826931853,52055.3099535207,53074.5401181641
Ghana,1831.4410105043,1897.1295183933,1983.47647757735,2098.15670952146,2234.20145413424,2387.35854743503,2492.89798496261,2703.30262688388,2784.13827919895,2964.43111957978,3368.80083733842,3664.60015272442,3909.66952295901,4006.18647531648,4044.41336917765,4135.6449997765,4457.35584649185,4746.68499549277
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,20963.5603634318,22615.9356489706,23870.1600997422,25437.2684267066,25577.5240795599,28519.5389434167,29291.9236888183,30856.0118268477,30365.3999269637,28148.4224229962,26141.3195918975,25284.4640766238,26097.8719008736,26838.4552283268,26902.525319841,27273.9345786637,28579.7945258539,29592.1524196167
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,7568.45645126042,7922.89553701431,8802.26557809391,8951.28211141626,10423.8603209328,10283.7952520972,11179.3057950946,11475.727828763,10764.5139593804,10788.9895185926,11040.109484721,11054.5848688294,11436.0258114446,12424.0676821701,13280.9824329701,13844.1434651551,14654.8664359312,15557.5450365264
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,4935.71279542107,5086.55078578768,5188.20405348101,5368.50732816393,5585.65072503745,5928.02611187245,6327.75498987348,6516.89098775027,6458.25303430575,6576.66860854135,6844.54052794213,7031.53131061267,7264.85382669257,7552.71798310916,7788.49793362438,7955.3200105558,8166.85746650737,8462.37400812193
Guinea,1253.41676090023,1312.64635398431,1327.88706309787,1368.55332555164,1424.14768484886,1453.00418073939,1558.614435573,1617.11761418497,1574.66320444874,1632.38630392217,1721.45135851851,1817.8526020908,1880.2385138099,1940.6349426703,1986.35305664782,2167.28239230766,2369.51917000363,2504.86974463305
Guinea-Bissau,1147.82678812128,1129.32775164968,1130.83127656967,1165.91743325564,1224.22226906924,1259.81238283362,1303.72463283951,1338.11014245523,1358.99826105238,1401.69245595324,1506.69531157217,1469.8050436043,1503.74588622381,1506.58951397109,1574.46116409323,1648.43833233456,1734.71490884183,1799.06789098093
Guyana,3847.73904192187,3955.08419871885,4001.16270084537,4169.79478566721,4213.38964095851,4562.46578926527,5013.01845155461,5209.15179962127,5428.76216652942,5706.20076815921,6106.96737115033,6523.25826256377,6935.12292074297,7302.4069815492,7565.79971940107,7865.45060893712,8142.57609813993,8640.73737016211
Haiti,1355.93100300333,1351.10611168731,1358.55349783227,1324.11389361453,1367.59987651698,1417.62964434333,1480.52853031659,1498.19967427988,1532.11010030023,1478.7362546883,1569.19815791418,1621.37147134299,1695.14160751027,1750.20293330448,1766.04423886208,1787.15940292836,1818.60669538941,1866.61758904114
Heavily indebted poor countries (HIPC),1217.64827022098,1242.20720310356,1285.8362324508,1355.63432620055,1442.38615148355,1535.64291388979,1636.7668214985,1722.8456158764,1763.04057547089,1839.38168406144,1911.89919033118,2004.26440225661,2099.71117738726,2196.52407807455,2265.70445803574,2335.35303320683,2437.00711836638,2530.64447697397
