Type,"Country Code","Series Code","Description"
Country-Series,"Sierra Leone (SLE)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"El Salvador (SLV)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Serbia (SRB)","Population, total (SP.POP.TOTL)","Data source: Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
Country-Series,"South Sudan (SSD)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"São Tomé and Principe (STP)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Suriname (SUR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Slovak Republic (SVK)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Slovenia (SVN)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Sweden (SWE)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Eswatini (SWZ)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Seychelles (SYC)","Population, total (SP.POP.TOTL)","Data source: National Bureau of Statistics"
Country-Series,"Syrian Arab Republic (SYR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Chad (TCD)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Togo (TGO)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Thailand (THA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Tajikistan (TJK)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Turkmenistan (TKM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Timor-Leste (TLS)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Tonga (TON)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Trinidad and Tobago (TTO)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Tunisia (TUN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Turkey (TUR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Tuvalu (TUV)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Tanzania (TZA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Uganda (UGA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Ukraine (UKR)","Population, total (SP.POP.TOTL)","Data source: State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
Country-Series,"Uruguay (URY)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"United States (USA)","Population, total (SP.POP.TOTL)","Data source: U.S. Census Bureau"
Country-Series,"Uzbekistan (UZB)","Population, total (SP.POP.TOTL)","Data source: State Committee of the Republic of Uzbekistan on Statistics, United Nations World Population Prospects"
Country-Series,"Venezuela, RB (VEN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Vietnam (VNM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Vanuatu (VUT)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Samoa (WSM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Kosovo (XKX)","Population, total (SP.POP.TOTL)","Data source: World Bank's Kosovo country office, Kosovo Agency of Statistics, U.S. Census Bureau"
Country-Series,"Yemen, Rep. (YEM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"South Africa (ZAF)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Zambia (ZMB)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Zimbabwe (ZWE)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
